period,sales
2001-01-01,2337.54938
2001-02-01,2014.65228
2001-03-01,1968.49312
2001-04-01,1739.08206
2001-05-01,1677.70854
2001-06-01,2292.85125
2001-07-01,2678.53152
2001-08-01,3055.1837
2001-09-01,2244.33591
2001-10-01,1798.71818
2001-11-01,1722.44503
2001-12-01,1961.87203
2002-01-01,2207.85008
2002-02-01,1836.2379
2002-03-01,1906.7844
2002-04-01,1804.94548
2002-05-01,1736.82733
2002-06-01,2330.52161
2002-07-01,3253.7731
2002-08-01,3224.16962
2002-09-01,2524.78426
2002-10-01,1876.35386
2002-11-01,1855.73927
2002-12-01,2613.3871
2003-01-01,2565.07177
2003-02-01,2112.58173
2003-03-01,2165.98179
2003-04-01,1782.16357
2003-05-01,1709.04103
2003-06-01,2171.12537
2003-07-01,3224.13103
2003-08-01,3305.90526
2003-09-01,2332.45345
2003-10-01,1805.52791
2003-11-01,1850.69577
2003-12-01,2342.44733
2004-01-01,2624.46139
2004-02-01,2291.93106
2004-03-01,2021.05855
2004-04-01,1825.7276
2004-05-01,2025.35415
2004-06-01,2463.99307
2004-07-01,3126.37904
2004-08-01,3073.73703
2004-09-01,2426.40957
2004-10-01,1881.77789
2004-11-01,1859.33336
2004-12-01,2399.96229
2005-01-01,2493.76398
2005-02-01,2231.30106
2005-03-01,2212.24776
2005-04-01,1883.83788
2005-05-01,1742.72081
2005-06-01,2765.36772
2005-07-01,3583.28253
2005-08-01,3756.20512
2005-09-01,2794.22404
2005-10-01,2097.134
2005-11-01,1957.85247
2005-12-01,2455.50565
2006-01-01,2395.30452
2006-02-01,2190.98233
2006-03-01,2126.13089
2006-04-01,1734.27889
2006-05-01,1847.42061
2006-06-01,2636.78949
2006-07-01,3716.86924
2006-08-01,3477.32306
2006-09-01,2305.45266
2006-10-01,1893.33493
2006-11-01,1957.58771
2006-12-01,2340.08166
2007-01-01,2444.83689
2007-02-01,2284.64485
2007-03-01,2311.41205
2007-04-01,1915.36035
2007-05-01,2014.99025
2007-06-01,2845.67722
2007-07-01,3205.3737
2007-08-01,3392.04346
2007-09-01,2631.47473
2007-10-01,2125.89377
2007-11-01,2077.30211
2007-12-01,2502.63761
2008-01-01,2540.41639
2008-02-01,2292.96215
2008-03-01,2126.70482
2008-04-01,1810.86824
2008-05-01,1845.18188
2008-06-01,2845.38261
2008-07-01,3687.00551
2008-08-01,3056.21178
2008-09-01,2512.05386
2008-10-01,1948.39948
2008-11-01,2033.02591
2008-12-01,2412.81037
2009-01-01,2751.27813
2009-02-01,2151.30366
2009-03-01,2178.48372
2009-04-01,1935.47112
2009-05-01,1853.0651
2009-06-01,2266.63024
2009-07-01,2826.49524
2009-08-01,3421.17879
2009-09-01,2283.84548
2009-10-01,1891.20738
2009-11-01,1860.23659
2009-12-01,2413.74854
2010-01-01,2713.13564
2010-02-01,2236.72566
2010-03-01,2052.90702
2010-04-01,1801.44443
2010-05-01,2082.04485
2010-06-01,2990.85366
2010-07-01,3979.51123
2010-08-01,3501.93281
2010-09-01,2710.17366
2010-10-01,1905.15251
2010-11-01,1887.49125
2010-12-01,2445.89531
2011-01-01,2956.05169
2011-02-01,2173.76455
2011-03-01,2104.28672
2011-04-01,1812.41543
2011-05-01,2015.59991
2011-06-01,2689.49656
2011-07-01,3853.38791
2011-08-01,3360.47561
2011-09-01,2682.31003
2011-10-01,1879.56689
2011-11-01,1719.77767
2011-12-01,2151.73706
2012-01-01,2488.86298
2012-02-01,2055.97416
2012-03-01,1878.05498
2012-04-01,1736.13528
2012-05-01,1976.2633
2012-06-01,2701.40486
2012-07-01,3818.6921
2012-08-01,3588.41665
2012-09-01,2407.61675
2012-10-01,1846.305
2012-11-01,2037.62215
2012-12-01,2127.60978
2013-01-01,2488.24833
2013-02-01,2129.6448
2013-03-01,2133.5787
2013-04-01,1749.31199
2013-05-01,1975.7017
2013-06-01,2683.12124
2013-07-01,3903.99585
2013-08-01,2989.08371
2013-09-01,2260.04512
2013-10-01,1875.25239
2013-11-01,1988.21362
2013-12-01,2368.44056
2014-01-01,2669.22686
2014-02-01,2242.45732
2014-03-01,2283.71527
2014-04-01,1804.64868
2014-05-01,1723.81599
2014-06-01,2555.66395
2014-07-01,3391.57085
2014-08-01,2884.40167
2014-09-01,2320.5108
2014-10-01,1792.89267
2014-11-01,1986.64514
2014-12-01,2237.0328
2015-01-01,2731.73979
